Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,2000,2000,2000,1971.87,2000
2,2290,2307.27,2307.27,2280.01,2301.45
3,2560,2614.55,2614.55,2588.16,2602.89
4,2880,2921.82,2921.82,2896.3,2904.34
5,3160,3229.09,3229.09,3204.45,3205.79
6,3480,3536.36,3536.36,3512.59,3507.23
1,3810,3843.64,3843.64,3820.74,3808.68
2,4170,4150.91,4150.91,4128.88,4110.13
3,4450,4458.18,4458.18,4437.03,4411.57
4,4790,4765.45,4765.45,4745.17,4713.02
5,5030,5072.73,5072.73,5053.32,5014.47
6,5380,5380,5380,5361.46,5315.91
1,5960,5965.46,5971.83,5979.37,5918.81
2,6260,6276.68,6282.21,6287.51,6220.25
3,6590,6587.9,6592.59,6595.66,6521.7
4,6890,6899.12,6902.97,6903.8,6823.15
5,7140,7210.34,7213.36,7211.95,7124.59
6,7540,7521.55,7523.74,7520.09,7426.04
1,7870,7832.77,7834.12,7828.24,7727.49
2,8170,8143.99,8144.5,8136.38,8028.93
3,8450,8455.21,8454.89,8444.53,8330.38
4,8770,8766.43,8765.27,8752.67,8631.83
5,9050,9077.65,9075.65,9060.82,8933.27
6,9400,9388.87,9386.03,9368.96,9234.72
1,9960,9961.58,9976.42,9969.66,9837.61
2,10260,10269.1,10282,10275.3,10139.1
3,10560,10576.6,10587.5,10581,10440.5
4,10900,10884.1,10893.1,10886.7,10742
5,11130,11191.6,11198.6,11192.3,11043.4
6,11520,11499.1,11504.2,11498,11344.8
1,11840,11806.6,11809.8,11803.7,11646.3
2,12110,12114.1,12115.3,12109.3,11947.7
3,12420,12421.6,12420.9,12415,12249.2
4,12750,12729.1,12726.4,12720.7,12550.6
5,13030,13036.6,13032,13026.3,12852.1
6,13330,13344.1,13337.5,13332,13153.5
1,13910,13915.1,13927.9,13919.9,13756.4
2,14170,14220.5,14231.6,14224.3,14057.9
3,14530,14525.9,14535.3,14528.7,14359.3
4,14860,14831.3,14839.1,14833.1,14660.8
5,15120,15136.8,15142.8,15137.5,14962.2
6,15480,15442.2,15446.5,15442,15263.7
1,15810,15747.6,15750.3,15746.4,15565.1
2,16040,16053,16054,16050.8,15866.5
3,16320,16358.4,16357.8,16355.2,16168
4,16640,16663.8,16661.5,16659.6,16469.4
5,16970,16969.2,16965.2,16964,16770.9
6,17280,17274.6,17269,17268.4,17072.3
1,17880,17851.2,17873.2,17867.1,17675.2
2,18160,18157.9,18176.9,18170.9,17976.7
3,18410,18464.5,18480.6,18474.8,18278.1
4,18760,18771.2,18784.2,18778.7,18579.6
5,19050,19077.8,19087.9,19082.5,18881
6,19370,19384.5,19391.6,19386.4,19182.5
1,19720,19691.1,19695.3,19690.3,19483.9
2,20050,19997.7,19998.9,19994.1,19785.4
3,20310,20304.4,20302.6,20298,20086.8
4,20620,20611,20606.3,20601.9,20388.2
5,20900,20917.7,20909.9,20905.7,20689.7
6,21230,21224.3,21213.6,21209.6,20991.1
1,21780,21787.3,21811.6,21795.9,21594
2,22060,22093.6,22115,22099.8,21895.5
3,22380,22399.8,22418.4,22403.7,22196.9
4,22730,22706,22721.8,22707.7,22498.4
5,23000,23012.3,23025.3,23011.6,22799.8
6,23330,23318.5,23328.7,23315.5,23101.3
1,23630,23624.7,23632.1,23619.5,23402.7
2,23900,23931,23935.5,23923.4,23704.2
3,24220,24237.2,24239,24227.3,24005.6
4,24550,24543.4,24542.4,24531.3,24307.1
5,24840,24849.7,24845.8,24835.2,24608.5
6,25190,25155.9,25149.2,25139.1,24909.9
1,25720,25726.9,25751.6,25742.1,25512.8
2,26030,26033.6,26054.9,26045.9,25814.3
3,26370,26340.2,26358.3,26349.8,26115.7
4,26670,26646.8,26661.6,26653.7,26417.2
5,26900,26953.5,26964.9,26957.5,26718.6
6,27240,27260.1,27268.2,27261.4,27020.1
1,27570,27566.7,27571.5,27565.3,27321.5
2,27880,27873.3,27874.9,27869.1,27623
3,28180,28180,28178.2,28173,27924.4
4,28500,28486.6,28481.5,28476.9,28225.9
5,28790,28793.2,28784.8,28780.7,28527.3
6,29110,29099.8,29088.1,29084.6,28828.8
1,29630,29662.1,29685.8,29668.1,29431.6
2,29990,29967.9,29988.9,29972.3,29733.1
3,30270,30273.6,30292,30276.4,30034.5
4,30590,30579.4,30595.1,30580.5,30336
5,30880,30885.1,30898.1,30884.6,30637.4
6,31180,31190.8,31201.2,31188.8,30938.9
1,31490,31496.6,31504.3,31492.9,31240.3
2,31800,31802.3,31807.4,31797,31541.8
3,32090,32108,32110.4,32101.1,31843.2
4,32420,32413.8,32413.5,32405.3,32144.7
5,32710,32719.5,32716.6,32709.4,32446.1
6,33040,33025.2,33019.7,33013.5,32747.6
1,33640,33604.4,33626.2,33619.6,33350.5
2,33920,33910.7,33929.3,33923.9,33651.9
3,34240,34217,34232.4,34228.2,33953.3
4,34540,34523.3,34535.5,34532.5,34254.8
5,34810,34829.6,34838.6,34836.9,34556.2
6,35110,35135.9,35141.7,35141.2,34857.7
1,35460,35442.2,35444.7,35445.5,35159.1
2,35760,35748.5,35747.8,35749.8,35460.6
3,36010,36054.8,36050.9,36054.1,35762
4,36370,36361.1,36354,36358.4,36063.5
5,36680,36667.4,36657.1,36662.8,36364.9
6,36980,36973.7,36960.2,36967.1,36666.4
1,37600,37545,37563.3,37554.4,37269.3
2,37820,37850.4,37866.3,37858.3,37570.7
3,38180,38155.9,38169.3,38162.2,37872.2
4,38480,38461.3,38472.3,38466.1,38173.6
5,38750,38766.7,38775.3,38770,38475
6,39060,39072.1,39078.3,39073.9,38776.5
1,39390,39377.6,39381.3,39377.8,39077.9
2,39630,39683,39684.3,39681.7,39379.4
3,39980,39988.4,39987.4,39985.6,39680.8
4,40310,40293.8,40290.4,40289.5,39982.3
5,40590,40599.2,40593.4,40593.4,40283.7
6,40920,40904.7,40896.4,40897.3,40585.2
2,41490,41481.6,41502.1,41491.1,41188.1
1,41820,41787.9,41805.1,41795.9,41489.5
3,42090,42094.1,42108.2,42100.7,41791
5,42360,42400.4,42411.2,42405.5,42092.4
4,42740,42706.7,42714.2,42710.3,42393.9
