Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,1990,1990,1990,2060.05,1990
2,2280,2254.67,2254.67,2316.13,2234.74
3,2570,2519.33,2519.33,2572.2,2479.48
4,2730,2784,2784,2828.28,2724.22
5,3010,3048.67,3048.67,3084.36,2968.95
6,3200,3313.33,3313.33,3340.43,3213.69
7,3440,3578,3578,3596.51,3458.43
8,3680,3842.67,3842.67,3852.59,3703.17
1,4400,4107.33,4107.33,4108.66,3947.91
2,4490,4372,4372,4364.74,4192.65
3,4680,4636.67,4636.67,4620.82,4437.38
4,4980,4901.33,4901.33,4876.89,4682.12
5,5210,5166,5166,5132.97,4926.86
6,5410,5430.67,5430.67,5389.05,5171.6
7,5660,5695.33,5695.33,5645.12,5416.34
8,5960,5960,5960,5901.2,5661.08
1,6490,6484.2,6485.27,6454.43,6150.55
2,6720,6736.36,6737.33,6710.5,6395.29
3,6990,6988.53,6989.39,6966.58,6640.03
4,7280,7240.69,7241.45,7222.66,6884.77
5,7480,7492.86,7493.51,7478.73,7129.51
6,7710,7745.02,7745.57,7734.81,7374.24
7,8000,7997.18,7997.63,7990.89,7618.98
8,8280,8249.35,8249.69,8246.96,7863.72
1,8510,8501.51,8501.75,8503.04,8108.46
2,8730,8753.67,8753.81,8759.11,8353.2
3,9000,9005.84,9005.87,9015.19,8597.94
4,9260,9258,9257.93,9271.27,8842.67
5,9500,9510.17,9509.99,9527.34,9087.41
6,9740,9762.33,9762.05,9783.42,9332.15
7,10000,10014.5,10014.1,10039.5,9576.89
8,10310,10266.7,10266.2,10295.6,9821.63
1,10760,10768.3,10764.8,10760.1,10311.1
2,11000,11017.7,11014.6,11010.4,10555.8
3,11220,11267.1,11264.4,11260.6,10800.6
4,11520,11516.6,11514.1,11510.8,11045.3
5,11780,11766,11763.9,11761.1,11290.1
6,12040,12015.4,12013.6,12011.3,11534.8
7,12280,12264.9,12263.4,12261.5,11779.5
8,12550,12514.3,12513.2,12511.8,12024.3
1,12700,12763.7,12762.9,12762,12269
2,13020,13013.2,13012.7,13012.2,12513.7
3,13280,13262.6,13262.5,13262.5,12758.5
4,13500,13512,13512.2,13512.7,13003.2
5,13760,13761.5,13762,13762.9,13248
6,14000,14010.9,14011.7,14013.2,13492.7
7,14270,14260.3,14261.5,14263.4,13737.4
8,14510,14509.7,14511.3,14513.6,13982.2
1,14930,14976.4,14984.6,14972,14471.7
2,15220,15224.5,15231.9,15220.2,14716.4
3,15450,15472.6,15479.3,15468.4,14961.1
4,15750,15720.8,15726.6,15716.7,15205.9
5,15980,15968.9,15973.9,15964.9,15450.6
6,16200,16217,16221.2,16213.2,15695.3
7,16480,16465.1,16468.5,16461.4,15940.1
8,16740,16713.2,16715.9,16709.6,16184.8
1,16910,16961.3,16963.2,16957.9,16429.6
2,17200,17209.5,17210.5,17206.1,16674.3
3,17450,17457.6,17457.8,17454.3,16919
4,17700,17705.7,17705.1,17702.6,17163.8
5,17970,17953.8,17952.5,17950.8,17408.5
6,18200,18201.9,18199.8,18199.1,17653.3
7,18440,18450,18447.1,18447.3,17898
8,18720,18698.2,18694.4,18695.5,18142.7
1,19210,19174,19181.7,19167.9,18632.2
2,19420,19421.1,19428.8,19415.9,18876.9
3,19660,19668.2,19675.9,19663.9,19121.7
